participant_id,level_name,initial_match,game_batch,final_matchsum,final_matchcount
669e9f5cc2490,level_A,0,2,0,4
669e9f5cc2490,level_A,1,2,20,20
669e9f5ce72ca,level_A,0,3,2,7
669e9f5ce72ca,level_A,1,3,17,17
669ea009e06f7,level_A,0,1,0,5
669ea009e06f7,level_A,1,1,19,19
669ea0b810826,level_A,0,5,2,3
669ea0b810826,level_A,1,5,21,21
669ea0cb40e7d,level_A,0,14,3,3
669ea0cb40e7d,level_A,1,14,20,21
669ea1397d962,level_A,0,4,3,6
669ea1397d962,level_A,1,4,16,18
669ea181eba61,level_A,0,13,0,6
669ea181eba61,level_A,1,13,18,18
669ea18f9de24,level_B,0,1,3,7
669ea18f9de24,level_B,1,1,17,17
669ea1a7d5e2b,level_A,0,18,3,5
669ea1a7d5e2b,level_A,1,18,18,19
669ea1d6c3f84,level_A,0,17,0,5
669ea1d6c3f84,level_A,1,17,19,19
669ea1df424c2,level_A,0,6,1,5
669ea1df424c2,level_A,1,6,18,19
669ea20a8085d,level_A,0,9,0,5
669ea20a8085d,level_A,1,9,16,19
669ea21750af3,level_A,0,12,0,5
669ea21750af3,level_A,1,12,19,19
669ea2624847b,level_B,0,4,3,5
669ea2624847b,level_B,1,4,15,19
669ea29ca1359,level_A,0,0,4,7
669ea29ca1359,level_A,1,0,17,17
669ea2d6f1375,level_B,0,12,1,6
669ea2d6f1375,level_B,1,12,17,18
669ea2e5dc218,level_A,0,8,0,4
669ea2e5dc218,level_A,1,8,20,20
669ea30b5f254,level_A,0,11,4,6
669ea30b5f254,level_A,1,11,17,18
669ea30d3ded3,level_B,0,0,3,8
669ea30d3ded3,level_B,1,0,16,16
669ea315dc8be,level_B,0,2,5,8
669ea315dc8be,level_B,1,2,16,16
669ea31e8ba7d,level_B,0,14,2,7
669ea31e8ba7d,level_B,1,14,17,17
669ea3242fdf3,level_B,0,6,1,5
669ea3242fdf3,level_B,1,6,19,19
669ea32be27ed,level_B,0,13,1,8
669ea32be27ed,level_B,1,13,16,16
669ea355117f3,level_B,0,11,2,5
669ea355117f3,level_B,1,11,19,19
669ea3a27dfed,level_A,0,15,1,6
669ea3a27dfed,level_A,1,15,18,18
669ea3b229326,level_B,0,7,1,6
669ea3b229326,level_B,1,7,17,18
669ea3e910945,level_A,0,16,2,4
669ea3e910945,level_A,1,16,17,20
669ea40467bbe,level_B,0,16,3,9
669ea40467bbe,level_B,1,16,15,15
669ea45ab9ff1,level_B,0,3,1,5
669ea45ab9ff1,level_B,1,3,16,19
669ea4650362e,level_A,0,10,4,8
669ea4650362e,level_A,1,10,14,16
669ea48e9b3ec,level_A,0,19,1,6
669ea48e9b3ec,level_A,1,19,17,18
669ea4b2d0597,level_B,0,18,2,7
669ea4b2d0597,level_B,1,18,17,17
669ea4f2285a5,level_B,0,10,5,10
669ea4f2285a5,level_B,1,10,14,14
669ea51870036,level_C,0,8,0,2
669ea51870036,level_C,1,8,21,22
669ea51b09d6e,level_C,1,15,22,24
669ea5351f66e,level_A,0,6,4,4
669ea5351f66e,level_A,1,6,19,20
669ea55ee8f22,level_C,0,1,1,4
669ea55ee8f22,level_C,1,1,18,20
669ea5617387e,level_C,0,4,1,5
669ea5617387e,level_C,1,4,19,19
669ea57f52d2a,level_C,0,11,1,6
669ea57f52d2a,level_C,1,11,17,18
669ea5a99b709,level_B,0,15,2,7
669ea5a99b709,level_B,1,15,17,17
669ea5b8c922f,level_C,0,7,2,5
669ea5b8c922f,level_C,1,7,18,19
669ea5c2b4792,level_A,0,5,3,5
669ea5c2b4792,level_A,1,5,18,19
669ea5c656009,level_C,0,0,1,9
669ea5c656009,level_C,1,0,14,15
669ea5d0e878c,level_A,0,8,5,6
669ea5d0e878c,level_A,1,8,17,18
669ea5fbd978d,level_B,0,17,1,5
669ea5fbd978d,level_B,1,17,18,19
669ea6162f3eb,level_A,0,0,6,6
669ea6162f3eb,level_A,1,0,15,18
669ea618042c6,level_C,0,12,1,3
669ea618042c6,level_C,1,12,19,21
669ea63b1c2fc,level_B,0,19,4,9
669ea63b1c2fc,level_B,1,19,14,15
669ea66244a72,level_B,0,13,3,6
669ea66244a72,level_B,1,13,17,18
669ea66d8c49c,level_A,0,12,0,4
